sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,167,177,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
/home/ubuntu/anaconda/lib/python2.7/site-packages/numpy/lib/arraysetops.py:200: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  flag = np.concatenate(([True], aux[1:] != aux[:-1]))
Will train until validation_0 error hasn't decreased in 20 rounds.
[449]	validation_0-auc:0.805665
[450]	validation_0-auc:0.805687
[451]	validation_0-auc:0.805735
[452]	validation_0-auc:0.805713
[453]	validation_0-auc:0.805738
[454]	validation_0-auc:0.805752
[455]	validation_0-auc:0.805748
[456]	validation_0-auc:0.805751
[457]	validation_0-auc:0.805748
[458]	validation_0-auc:0.805790
[459]	validation_0-auc:0.805797
[460]	validation_0-auc:0.805795
[461]	validation_0-auc:0.805841
[462]	validation_0-auc:0.805836
[463]	validation_0-auc:0.805819
[464]	validation_0-auc:0.805854
[465]	validation_0-auc:0.805888
[466]	validation_0-auc:0.805916
[467]	validation_0-auc:0.805914
[468]	validation_0-auc:0.805871
[469]	validation_0-auc:0.805881
[470]	validation_0-auc:0.805873
[471]	validation_0-auc:0.805859
[472]	validation_0-auc:0.805865
[473]	validation_0-auc:0.805914
[474]	validation_0-auc:0.805919
[475]	validation_0-auc:0.805926
[476]	validation_0-auc:0.805950
[477]	validation_0-auc:0.805997
[478]	validation_0-auc:0.806018
[479]	validation_0-auc:0.806051
[480]	validation_0-auc:0.806036
[481]	validation_0-auc:0.806069
[482]	validation_0-auc:0.806015
[483]	validation_0-auc:0.806024
[484]	validation_0-auc:0.805989
[485]	validation_0-auc:0.806003
[486]	validation_0-auc:0.806010
[487]	validation_0-auc:0.806027
[488]	validation_0-auc:0.806036
[489]	validation_0-auc:0.806066
[490]	validation_0-auc:0.806068
[491]	validation_0-auc:0.806037
[492]	validation_0-auc:0.805996
[493]	validation_0-auc:0.806008
[494]	validation_0-auc:0.806000
[495]	validation_0-auc:0.806048
[496]	validation_0-auc:0.806020
[497]	validation_0-auc:0.806018
[498]	validation_0-auc:0.806014
[499]	validation_0-auc:0.806110
[500]	validation_0-auc:0.806163
[501]	validation_0-auc:0.806194
[502]	validation_0-auc:0.806234
[503]	validation_0-auc:0.806223
[504]	validation_0-auc:0.806228
[505]	validation_0-auc:0.806228
[506]	validation_0-auc:0.806217
[507]	validation_0-auc:0.806173
[508]	validation_0-auc:0.806215
[509]	validation_0-auc:0.806227
[510]	validation_0-auc:0.806274
[511]	validation_0-auc:0.806258
[512]	validation_0-auc:0.806247
[513]	validation_0-auc:0.806275
[514]	validation_0-auc:0.806276
[515]	validation_0-auc:0.806250
[516]	validation_0-auc:0.806241
[517]	validation_0-auc:0.806235
[518]	validation_0-auc:0.806248
[519]	validation_0-auc:0.806294
[520]	validation_0-auc:0.806287
[521]	validation_0-auc:0.806305
[522]	validation_0-auc:0.806331
[523]	validation_0-auc:0.806325
[524]	validation_0-auc:0.806341
[525]	validation_0-auc:0.806319
[526]	validation_0-auc:0.806294
[527]	validation_0-auc:0.806322
[528]	validation_0-auc:0.806374
[529]	validation_0-auc:0.806400
[530]	validation_0-auc:0.806385
[531]	validation_0-auc:0.806386
[532]	validation_0-auc:0.806355
[533]	validation_0-auc:0.806366
[534]	validation_0-auc:0.806378
[535]	validation_0-auc:0.806395
[536]	validation_0-auc:0.806399
[537]	validation_0-auc:0.806431
[538]	validation_0-auc:0.806479
[539]	validation_0-auc:0.806522
[540]	validation_0-auc:0.806532
[541]	validation_0-auc:0.806498
[542]	validation_0-auc:0.806518
[543]	validation_0-auc:0.806512
[544]	validation_0-auc:0.806531
[545]	validation_0-auc:0.806525
[546]	validation_0-auc:0.806544
[547]	validation_0-auc:0.806568
[548]	validation_0-auc:0.806558
[549]	validation_0-auc:0.806583
[550]	validation_0-auc:0.806616
[551]	validation_0-auc:0.806610
[552]	validation_0-auc:0.806612
[553]	validation_0-auc:0.806612
[554]	validation_0-auc:0.806620
[555]	validation_0-auc:0.806630
[556]	validation_0-auc:0.806625
[557]	validation_0-auc:0.806628
[558]	validation_0-auc:0.806619
[559]	validation_0-auc:0.806654
[560]	validation_0-auc:0.806637
[561]	validation_0-auc:0.806647
[562]	validation_0-auc:0.806596
[563]	validation_0-auc:0.806596
[564]	validation_0-auc:0.806627
[565]	validation_0-auc:0.806610
[566]	validation_0-auc:0.806605
[567]	validation_0-auc:0.806638
[568]	validation_0-auc:0.806637
[569]	validation_0-auc:0.806643
[570]	validation_0-auc:0.806633
[571]	validation_0-auc:0.806632
[572]	validation_0-auc:0.806692
[573]	validation_0-auc:0.806720
[574]	validation_0-auc:0.806711
[575]	validation_0-auc:0.806747
[576]	validation_0-auc:0.806771
[577]	validation_0-auc:0.806790
[578]	validation_0-auc:0.806832
[579]	validation_0-auc:0.806864
[580]	validation_0-auc:0.806860
[581]	validation_0-auc:0.806917
[582]	validation_0-auc:0.806933
[583]	validation_0-auc:0.806927
[584]	validation_0-auc:0.806930
[585]	validation_0-auc:0.806994
[586]	validation_0-auc:0.807026
[587]	validation_0-auc:0.807023
[588]	validation_0-auc:0.807004
[589]	validation_0-auc:0.806971
[590]	validation_0-auc:0.806955
[591]	validation_0-auc:0.806978
[592]	validation_0-auc:0.806989
[593]	validation_0-auc:0.807020
[594]	validation_0-auc:0.807045
[595]	validation_0-auc:0.807060
[596]	validation_0-auc:0.807045
[597]	validation_0-auc:0.807059
[598]	validation_0-auc:0.807085
[599]	validation_0-auc:0.807103
[600]	validation_0-auc:0.807062
[601]	validation_0-auc:0.807079
[602]	validation_0-auc:0.807079
[603]	validation_0-auc:0.807102
[604]	validation_0-auc:0.807095
[605]	validation_0-auc:0.807088
[606]	validation_0-auc:0.807110
[607]	validation_0-auc:0.807138
[608]	validation_0-auc:0.807154
[609]	validation_0-auc:0.807160
[610]	validation_0-auc:0.807173
[611]	validation_0-auc:0.807190
[612]	validation_0-auc:0.807144
[613]	validation_0-auc:0.807164
[614]	validation_0-auc:0.807177
[615]	validation_0-auc:0.807168
[616]	validation_0-auc:0.807165
[617]	validation_0-auc:0.807182
[618]	validation_0-auc:0.807201
[619]	validation_0-auc:0.807203
[620]	validation_0-auc:0.807199
[621]	validation_0-auc:0.807177
[622]	validation_0-auc:0.807218
[623]	validation_0-auc:0.807261
[624]	validation_0-auc:0.807309
[625]	validation_0-auc:0.807317
[626]	validation_0-auc:0.807307
[627]	validation_0-auc:0.807311
[628]	validation_0-auc:0.807302
[629]	validation_0-auc:0.807341
[630]	validation_0-auc:0.807389
[631]	validation_0-auc:0.807363
[632]	validation_0-auc:0.807364
[633]	validation_0-auc:0.807394
[634]	validation_0-auc:0.807452
[635]	validation_0-auc:0.807457
[636]	validation_0-auc:0.807488
[637]	validation_0-auc:0.807456
[638]	validation_0-auc:0.807473
[639]	validation_0-auc:0.807482
[640]	validation_0-auc:0.807501
[641]	validation_0-auc:0.807498
[642]	validation_0-auc:0.807509
[643]	validation_0-auc:0.807524
[644]	validation_0-auc:0.807499
[645]	validation_0-auc:0.807513
[646]	validation_0-auc:0.807511
[647]	validation_0-auc:0.807548
[648]	validation_0-auc:0.807551
[649]	validation_0-auc:0.807535
[650]	validation_0-auc:0.807549
[651]	validation_0-auc:0.807542
[652]	validation_0-auc:0.807590
[653]	validation_0-auc:0.807580
[654]	validation_0-auc:0.807585
[655]	validation_0-auc:0.807589
[656]	validation_0-auc:0.807588
[657]	validation_0-auc:0.807585
[658]	validation_0-auc:0.807607
[659]	validation_0-auc:0.807595
[660]	validation_0-auc:0.807608
[661]	validation_0-auc:0.807624
[662]	validation_0-auc:0.807639
[663]	validation_0-auc:0.807646
[664]	validation_0-auc:0.807662
[665]	validation_0-auc:0.807633
[666]	validation_0-auc:0.807664
[667]	validation_0-auc:0.807651
[668]	validation_0-auc:0.807707
[669]	validation_0-auc:0.807750
[670]	validation_0-auc:0.807774
[671]	validation_0-auc:0.807797
[672]	validation_0-auc:0.807827
[673]	validation_0-auc:0.807800
[674]	validation_0-auc:0.807805
